seasonal,state_fips,month_date,emp_priv,emp_rest,emp_H25,emp_L25,emp_M25,emp_H33,emp_L33,emp_M33,emp_2019_priv,period,rr_H25,rr_L25,rr_M25,rr_H33,rr_L33,rr_M33
U,1,2019-01-01,1653.7,180.7,373.7,429.4,850.6,592.2,650.8,410.7,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-02-01,1663.9,184.1,375.3,431.8,856.8,597.7,655.2,411,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-03-01,1670.2,186.4,374.7,435.5,860,598.6,660.5,411.1,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-04-01,1681.8,190.3,375.7,441.1,865,601.5,667.9,412.4,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-05-01,1685.6,190.4,374.8,443.3,867.5,599.9,671.5,414.2,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-06-01,1688.7,189.3,376.3,443.5,868.9,601.7,672.1,414.9,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-07-01,1686.9,188.4,376.59999999999997,442.3,868,601.4,670.1,415.40000000000003,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-08-01,1690.6,189.9,376,441.70000000000005,872.9,601.7,671.3,417.6,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-09-01,1683,187.1,374.90000000000003,436.9,871.2,602.2,664.1,416.7,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-10-01,1688.8,187.5,376.3,438.9,873.6,603.6,667.1,418.1,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-11-01,1701.8,186.8,378.1,444.20000000000005,879.5,606.8,674.7,420.3,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
U,1,2019-12-01,1699.8,185.3,379,442.6,878.2,607,669.9,422.9,1682.9,0,0.387994134473353,0.499999994,0.423266328516385,0.387994134473353,0.499999994,0.399079681172592
